X,Y
917,674
792,195
975,988
758,582
953,410
219,270
503,394
977,82
203,188
930,518
651,147
782,612
72,957
593,822
602,250
715,266
423,806
418,445
907,542
545,996
644,183
506,639
157,238
142,35
31,266
784,952
283,17
149,285
102,565
284,498
88,331
653,129
629,810
258,42
310,140
956,263
135,939
167,708
347,412
574,752
851,432
926,867
650,978
936,459
450,225
868,887
9,133
937,612
661,283
967,996
607,27
974,613
660,161
195,893
426,240
685,591
713,980
395,325
544,680
221,129
905,486
617,348
727,228
178,469
967,478
236,152
173,204
250,11
93,729
145,504
498,337
347,646
520,857
532,225
715,740
287,172
373,815
370,822
348,6
983,869
432,38
318,936
659,694
634,836
370,908
873,369
204,603
630,217
818,931
505,43
923,324
284,259
138,542
998,346
464,615
353,509
999,998
502,872
934,73
166,728
862,619
529,479
349,168
474,77
3,666
515,828
674,889
86,477
601,918
463,539
676,961
491,972
989,45
167,62
615,148
27,746
260,705
361,72
539,716
547,676
325,448
327,995
696,649
503,646
275,846
236,589
70,972
734,103
633,791
730,711
63,540
122,681
638,135
117,289
335,214
180,993
672,111
6,273
989,574
477,1000
525,622
142,789
949,130
410,694
218,970
636,597
393,99
229,797
917,267
644,843
843,864
904,627
314,291
444,229
773,456
944,302
626,934
777,273
155,412
984,740
941,708
694,810
931,496
379,299
927,114
815,757
586,414
380,706
846,869
36,533
751,46
707,996
170,387
33,484
223,78
115,707
845,315
214,337
548,627
477,336
85,612
808,421
900,906
268,301
500,790
273,164
901,180
36,198
398,449
901,232
225,415
395,5
358,434
334,415
802,470
622,321
925,819
361,539
803,870
92,692
894,717
944,943
421,923
392,560
663,302
133,639
455,467
347,47
19,687
228,711
263,970
845,81
620,186
42,178
858,127
107,360
227,171
663,55
990,890
375,879
433,194
52,929
685,95
160,654
956,291
162,668
514,885
372,177
933,350
189,456
847,521
702,1000
611,597
288,0
563,455
44,951
26,825
540,636
702,860
217,651
200,119
434,308
91,470
569,379
2,806
966,854
296,654
991,301
475,297
32,850
315,17
126,782
408,17
778,930
510,668
306,539
906,966
379,549
70,267
523,134
351,706
570,166
951,942
225,104
894,24
673,779
903,261
279,55
389,781
511,756
655,921
202,290
805,484
158,824
217,840
725,418
84,121
765,290
833,769
384,252
58,394
491,804
258,631
355,453
899,985
785,697
104,776
25,616
13,778
498,198
574,510
126,357
217,251
141,226
182,335
316,792
272,675
863,512
267,592
609,337
509,155
676,645
636,680
413,902
291,547
892,51
665,155
815,811
615,213
794,756
516,598
594,242
220,793
195,333
93,900
757,333
377,474
90,328
711,633
611,270
983,678
191,863
26,406
338,849
728,986
175,558
302,539
725,801
907,327
991,536
117,331
915,950
42,776
764,318
335,333
591,522
812,181
754,687
147,922
648,9
179,997
507,92
760,162
615,400
777,986
255,225
732,421
130,964
155,759
669,757
466,89
989,458
352,723
500,683
530,114
418,774
916,272
839,717
380,759
103,180
328,394
823,349
547,728
178,621
484,835
137,158
75,912
110,557
89,890
442,55
688,952
726,361
526,287
254,304
611,113
487,488
706,569
90,898
920,99
437,316
175,746
536,78
614,890
188,33
826,128
98,640
87,895
314,666
450,847
137,361
910,300
469,141
433,919
491,760
485,402
280,710
490,685
57,445
548,344
920,309
9,72
814,849
472,221
123,319
241,737
227,234
219,945
678,636
619,770
18,869
831,266
477,669
277,707
400,493
558,147
665,749
206,215
762,403
66,437
22,159
365,338
239,577
226,635
207,733
752,577
496,264
291,605
998,738
556,521
621,827
73,929
923,185
829,970
621,129
316,71
814,496
339,689
512,885
368,43
285,872
699,183
516,823
213,91
946,462
669,20
808,95
273,341
182,191
669,404
163,425
940,738
228,52
593,481
416,757
826,335
336,696
444,884
235,466
160,953
416,64
337,697
352,317
80,62
333,752
901,716
193,325
876,744
400,79
405,797
358,364
736,962
982,59
556,302
637,14
976,643
907,504
397,489
939,820
165,321
932,850
547,281
344,376
338,220
188,979
168,375
305,456
775,604
507,814
512,515
210,68
451,698
579,683
328,670
349,299
153,574
260,149
746,79
19,762
232,51
590,416
658,874
56,147
840,291
866,226
905,723
64,863
129,618
793,972
198,489
603,762
210,832
472,313
749,534
713,237
736,411
325,737
24,547
442,863
571,280
472,563
646,516
818,939
828,723
836,952
186,266
607,318
984,127
181,946
455,196
957,398
777,968
252,489
743,837
593,869
359,585
140,502
824,407
646,415
584,822
666,937
118,295
980,386
76,987
199,331
610,745
576,148
765,470
426,697
195,836
466,268
812,38
146,991
110,32
293,779
915,278
435,392
405,206
489,490
630,753
737,282
547,40
229,764
327,101
831,852
350,500
318,4
813,966
638,650
558,215
64,827
351,951
224,575
365,813
880,258
741,264
937,760
37,603
341,356
898,923
382,656
348,236
175,860
463,981
18,574
804,373
34,192
642,983
520,364
641,317
254,361
782,381
137,461
908,543
431,83
332,162
929,751
123,46
157,926
879,454
562,63
659,375
637,617
76,544
531,431
515,315
483,842
608,515
345,555
366,161
786,737
501,663
247,515
783,116
946,663
389,46
4,626
519,686
808,413
368,87
340,861
653,56
265,49
27,573
760,417
998,412
50,153
550,493
783,268
18,23
728,106
74,440
482,240
632,483
577,468
771,299
18,208
39,444
335,703
654,483
985,100
769,640
846,801
843,11
911,805
167,738
312,131
290,74
857,92
889,12
744,776
23,210
510,504
568,777
253,97
791,728
81,659
967,314
680,930
696,69
203,858
151,615
483,184
79,679
863,576
295,765
937,902
609,286
750,717
985,739
880,571
282,282
515,353
50,90
299,423
496,334
162,162
801,937
912,289
29,3
225,288
707,31
346,251
965,602
542,288
411,673
109,625
661,408
210,387
804,751
809,210
320,969
693,132
3,370
775,368
677,824
540,566
361,819
931,334
336,937
420,132
558,575
663,276
736,126
230,433
915,467
819,851
728,421
158,385
85,240
546,591
838,671
864,688
872,256
745,705
655,146
317,838
308,569
299,175
798,12
626,374
395,595
30,953
816,165
590,277
693,734
528,29
280,631
450,872
440,134
875,286
864,318
96,997
601,226
865,17
151,395
321,561
901,88
180,224
905,696
950,106
587,221
588,61
48,282
688,340
912,629
707,576
655,93
818,142
283,717
980,867
790,367
702,555
466,349
834,953
529,267
602,643
437,728
625,908
672,490
427,990
245,308
453,175
202,602
207,16
55,864
560,361
773,303
82,856
711,907
323,790
235,421
164,596
971,406
838,625
894,408
450,456
989,663
363,996
427,797
188,829
729,412
351,243
590,872
180,703
902,414
811,169
849,721
598,944
87,62
989,374
1,686
939,50
594,304
513,52
997,118
83,735
232,232
663,301
3,229
173,275
151,977
22,422
882,754
590,547
273,896
669,99
235,255
536,350
367,34
481,669
63,36
412,888
138,378
572,424
994,87
907,489
691,294
451,662
594,131
21,266
393,23
238,905
317,77
552,79
728,246
473,539
524,303
891,857
604,502
985,874
819,652
155,938
394,987
687,633
787,222
912,433
427,954
618,410
775,396
228,231
210,523
193,196
24,166
635,945
168,704
106,953
955,415
624,215
720,859
348,125
949,211
476,589
204,55
561,870
297,951
472,208
728,834
914,217
693,692
958,661
482,947
705,71
624,156
952,329
509,785
622,298
847,249
124,950
200,414
852,847
111,33
914,415
311,540
999,547
138,438
102,725
578,847
582,211
796,680
441,287
979,613
991,621
465,303
934,733
4,445
309,745
194,695
795,199
573,925
51,708
250,250
716,589
338,943
369,461
925,16
857,39
934,58
236,664
800,97
912,98
792,277
111,333
740,6
344,112
37,395
31,323
867,734
433,384
759,898
995,481
944,281
100,7
87,958
971,840
64,645
999,678
645,638
203,164
688,329
458,180
343,13
936,61
105,44
495,713
218,29
686,507
330,817
798,555
474,598
572,134
484,188
799,44
235,172
831,423
994,254
435,370
448,234
56,227
36,304
136,649
206,48
971,879
985,517
713,47
300,394
514,109
32,51
379,243
610,183
64,605
826,715
32,916
487,430
517,697
271,981
726,208
595,848
938,775
612,35
803,996
566,886
36,427
165,786
205,55
934,834
13,41
103,614
940,931
441,366
472,392
373,769
829,143
576,919
240,949
609,315
489,179
975,796
476,593
821,762
679,410
750,1000
348,172
757,402
248,534
880,668
376,133
655,388
207,885
780,671
566,993
645,52
328,317
281,976
937,683
949,312
391,31
451,890
300,744
668,290
509,577
280,674
512,521
440,111
23,596
627,436
431,73
875,973
70,338
627,930
348,881
982,854
605,528
813,900
404,606
263,513
675,327
970,320
462,525
270,969
637,916
980,405
384,727
935,82
401,639
528,555
679,677
834,30
776,506
456,811
490,451
919,592
896,520
392,464
576,952
699,482
600,159
752,691
538,533
473,153
935,562
881,667
722,402
433,303
762,783
650,65
954,543
760,70
250,896
103,352
828,184
762,258
341,111
770,60
305,177
620,239
950,183
639,208
306,756
925,363
883,378
247,227
487,721
924,988
14,604
41,886
428,181
241,131
542,296
709,671
660,446
991,419
189,522
459,777
823,481
465,452
122,788
481,46
818,928
294,197
337,267
994,623
685,737
404,958
754,177
358,807
141,438
944,266
531,68
53,624
226,693
958,836
397,180
963,135
31,210
444,49
355,244
391,512
938,282
263,146
993,160
625,671
320,356
588,170
314,255
514,129
771,813
526,275
290,995
420,25
981,661
15,180
608,836
986,625
87,496
844,131
673,390
56,388
69,976
42,13
543,251
311,856
745,368
302,345
313,814
697,638
556,740
812,984
831,549
704,959
868,223
123,574
937,215
789,943
617,911
117,968
418,432
768,493
263,193
168,115
708,488
217,550
0,217
706,406
161,98
794,425
514,615
356,952
60,192
71,976
167,353
160,226
807,115
850,385
6,759
959,680
582,545
321,732
66,968
259,625
196,935
144,65
353,135
751,767
518,349
63,783
546,861
5,740
508,90
108,3
687,844
48,684
244,248
194,804
861,704
44,633
200,450
497,780
14,615
321,749
714,656
243,579
348,35
701,751
250,618
740,2
316,273
30,0
196,539
402,783
731,450
119,916
101,245
239,449
158,459
505,711
985,554
471,442
734,852
573,255
429,902
789,901
1000,297
246,321
608,94
362,336
383,861
550,248
292,389
340,284
540,913
16,959
331,957
250,103
159,590
904,69
902,879
418,661
347,154
254,833
577,63
871,789
556,374
888,427
565,160
151,418
417,59
316,555
953,454
405,216
911,165
512,972
925,902
902,583
796,511
154,4
402,272
574,592
287,58
901,273
641,309
138,902
406,293
350,116
977,903
934,558
307,8
910,293
952,854
425,679
611,282
1000,335
513,19
498,116
444,30
899,365
706,526
146,649
893,641
543,283
198,42
625,92
969,184
881,656
839,28
228,556
829,546
854,76
334,337
47,858
926,773
879,97
345,237
871,493
562,174
334,188
79,406
971,113
75,329
960,170
430,927
463,744
310,163
266,770
424,938
479,498
931,342
116,831
73,285
120,922
455,69
645,781
808,943
520,631
374,186
632,237
178,52
127,691
691,96
265,245
273,269
900,579
487,373
634,476
605,39
617,285
589,77
613,240
706,68
466,780
907,543
192,281
527,320
602,441
958,412
158,826
304,720
321,564
654,601
671,234
52,753
133,382
869,50
184,33
558,146
116,820
17,556
90,12
54,646
852,754
607,486
941,856
663,417
612,40
323,601
214,62
992,476
355,874
437,419
464,177
816,536
363,462
613,954
850,638
536,887
751,721
225,536
147,499
103,899
486,783
150,258
263,943
397,140
816,339
266,449
625,187
330,278
10,748
631,572
946,912
678,109
23,618
435,145
800,146
105,968
37,690
889,562
33,878
706,944
166,486
157,985
530,332
944,883
974,169
106,288
336,86
118,850
243,375
155,680
132,213
80,372
742,50
322,340
490,896
756,761
699,941
679,970
56,966
370,66
20,343
842,617
256,966
690,852
631,50
134,135
660,931
841,535
659,75
536,996
609,46
582,203
293,984
964,927
825,403
786,282
769,543
200,379
893,110
98,63
989,620
419,85
849,760
392,410
758,835
175,34
849,667
148,561
944,493
709,479
942,515
295,398
745,962
378,971
711,369
303,908
294,187
91,412
176,449
941,835
592,114
453,274
886,589
87,386
288,328
173,296
257,928
672,545
59,387
337,158
658,84
136,12
584,776
795,367
135,33
90,912
833,30
879,898
407,195
960,382
816,410
386,680
107,822
618,532
205,59
870,281
899,888
626,479
270,533
1,774
167,43
379,686
56,621
994,871
114,894
525,252
393,115
470,980
838,605
768,111
789,342
64,989
875,962
261,818
675,528
219,297
994,560
802,674
899,843
436,322
661,583
473,643
740,206
844,175
14,504
952,563
796,727
310,298
244,717
667,808
442,958
988,442
552,159
759,69
167,778
612,159
977,982
629,934
689,838
700,293
212,503
667,52
798,152
559,803
680,118
929,435
595,198
204,756
793,498
845,333
991,164
17,658
209,34
808,450
718,821
318,199
491,343
811,746
275,421
327,934
70,152
535,361
536,229
273,949
147,669
54,70
143,133
658,877
518,978
966,722
154,91
547,861
657,791
271,16
293,989
899,698
582,300
168,984
517,473
689,985
533,375
845,155
512,466
894,34
17,859
248,485
175,34
736,822
999,427
74,442
33,232
387,203
333,594
443,645
172,484
716,988
610,283
603,404
365,870
588,130
625,430
473,215
869,103
328,730
816,800
175,75
586,125
732,871
454,355
906,686
512,938
448,127
318,348
855,572
291,643
701,270
949,259
180,62
643,994
67,543
629,271
991,172
96,354
380,489
825,869
766,595
134,961
540,147
20,78
113,154
788,536
488,661
342,936
516,443
547,734
994,320
967,965
810,935
619,468
135,154
804,500
434,394
16,542
155,162
620,210
30,586
466,161
241,555
704,73
355,657
751,6
711,964
843,760
175,32
590,140
303,70
765,374
246,250
249,60
339,859
770,296
453,37
790,315
814,574
351,44
766,534
535,681
123,416
753,824
238,873
498,761
286,11
769,376
945,597
571,343
852,499
337,119
896,360
602,654
888,914
146,507
955,317
295,485
432,523
203,613
876,542
8,48
519,595
947,409
729,280
301,551
602,182
940,14
332,138
592,19
915,874
168,879
321,250
809,70
402,170
922,340
894,331
901,174
733,273
856,935
467,148
878,28
210,114
941,73
872,164
99,117
175,800
243,866
200,254
437,474
98,87
172,243
501,798
274,905
756,77
326,903
956,724
381,774
921,810
185,942
87,437
310,568
247,403
209,461
385,987
186,864
147,369
912,316
838,382
402,719
182,139
674,818
190,268
742,180
8,152
534,759
216,162
260,388
7,237
857,886
275,47
441,119
740,892
106,372
770,55
880,430
908,166
225,149
302,249
272,27
786,68
325,952
958,17
161,510
898,165
254,915
526,506
910,187
836,164
206,451
33,201
210,299
653,440
259,978
145,77
602,488
654,856
383,704
615,622
15,994
656,151
953,610
665,376
205,465
224,6
937,883
563,675
483,715
704,611
334,80
980,897
66,918
52,386
278,489
15,332
263,290
320,267
985,791
210,673
59,475
256,606
979,283
14,333
902,189
851,639
222,791
523,797
527,534
453,104
593,803
592,444
401,771
22,361
130,771
286,85
788,924
318,931
21,26
657,178
314,687
507,588
711,727
629,335
18,212
683,824
597,161
501,728
98,195
132,183
917,947
7,779
349,114
623,582
976,776
478,216
683,295
589,567
68,738
350,280
425,744
77,670
634,845
302,160
347,982
113,791
355,678
892,857
556,538
418,736
290,686
402,660
292,966
578,584
46,753
198,604
13,47
798,340
467,415
751,923
519,671
258,816
466,405
385,424
861,70
250,408
371,466
752,926
600,362
516,424
672,932
84,15
632,699
305,902
404,726
534,671
626,727
362,729
755,800
867,531
569,984
760,922
102,582
311,376
914,9
277,509
927,986
325,636
776,928
358,996
439,121
739,1000
6,266
314,107
943,554
911,166
836,938
89,707
648,53
266,372
390,825
974,305
805,854
489,590
319,88
544,837
110,236
178,243
169,269
773,100
766,179
494,792
460,778
741,559
653,128
1000,952
834,643
337,380
44,558
489,206
456,722
484,218
435,726
803,676
679,900
490,697
969,679
788,340
90,209
721,793
245,341
824,627
365,427
874,409
604,616
756,757
292,496
99,826
652,270
23,42
10,711
250,461
516,816
160,216
758,594
863,882
35,780
981,379
282,323
650,109
455,298
63,985
780,465
137,599
7,836
918,298
754,384
138,58
855,640
115,502
604,214
564,819
910,292
382,868
467,75
29,302
48,434
912,105
253,344
381,375
234,884
491,337
348,48
64,732
708,753
618,15
889,478
522,492
709,951
133,17
181,141
679,180
850,871
261,274
632,764
439,301
74,162
685,55
347,166
978,827
16,987
829,518
721,182
465,571
286,179
743,166
536,309
354,714
276,951
414,120
744,217
694,364
491,707
368,291
687,383
384,735
468,459
782,239
853,576
219,92
238,627
442,123
288,554
583,507
552,305
192,479
266,384
350,652
455,46
813,825
679,266
830,213
234,578
764,884
154,237
374,936
650,231
601,434
515,504
189,474
59,117
291,658
464,68
917,566
423,530
281,173
488,979
950,863
499,507
670,362
77,932
87,816
349,425
49,321
467,651
562,103
251,533
865,904
776,464
727,343
68,465
907,794
128,131
414,589
660,435
121,260
986,78
342,229
647,722
20,744
981,934
182,517
271,46
469,939
221,687
885,593
871,512
284,617
257,198
193,671
397,838
404,433
827,222
893,101
868,863
205,604
6,890
773,882
271,114
122,953
942,506
57,701
732,761
938,309
650,310
818,958
340,212
736,409
192,564
318,605
553,614
698,272
875,504
146,203
153,748
507,81
453,554
477,690
833,915
797,686
192,513
121,612
395,551
266,928
262,961
766,549
256,292
524,330
296,625
682,327
300,449
708,930
122,381
938,154
837,907
982,825
624,249
496,162
688,665
810,196
857,924
149,581
12,710
168,827
302,490
524,468
845,805
801,308
698,460
0,1000
416,427
76,14
327,817
637,448
90,589
377,896
649,89
210,659
342,229
518,21
568,786
916,618
663,99
997,503
306,123
589,764
463,718
538,953
270,233
800,942
487,181
175,648
956,16
254,577
38,444
657,848
677,797
127,141
852,964
173,739
925,623
127,30
884,310
547,871
329,844
276,896
714,789
284,546
414,387
621,237
586,28
68,508
6,726
734,503
784,729
935,713
380,603
871,487
798,698
684,145
703,444
184,667
150,783
36,893
570,806
214,377
274,885
698,144
840,168
869,952
314,71
286,329
408,96
635,395
76,458
729,155
499,694
677,716
865,824
374,460
821,266
500,47
80,468
422,577
577,638
970,630
515,634
428,964
331,58
271,120
864,660
125,485
142,432
470,77
198,859
963,696
679,152
979,135
261,730
253,891
998,40
561,465
473,874
699,198
115,833
194,603
258,927
780,664
237,630
109,361
507,62
399,316
33,505
979,161
287,904
194,586
201,142
412,14
18,744
425,559
47,891
383,622
108,109
998,690
970,643
908,281
572,163
418,449
361,18
864,900
379,517
120,897
461,158
383,146
202,483
71,569
588,887
849,532
271,611
752,33
375,753
742,123
241,179
745,959
314,780
824,549
769,586
898,264
637,166
631,568
616,90
563,167
517,868
431,789
822,594
476,373
136,627
53,15
791,352
239,917
597,264
84,825
905,681
998,338
703,427
144,560
539,116
963,294
262,741
5,691
849,36
536,61
785,325
581,925
33,747
959,334
827,870
168,75
986,396
148,236
12,64
414,775
262,604
56,93
97,597
273,578
187,618
697,455
761,299
627,654
267,181
627,963
467,117
427,695
483,819
948,286
34,120
25,437
826,886
298,125
944,920
971,692
890,362
922,116
561,184
794,320
9,499
898,756
98,451
776,445
295,322
457,21
352,29
860,815
15,580
544,477
305,846
133,315
758,259
101,551
325,476
981,671
787,302
150,614
683,174
370,663
125,834
668,183
398,880
836,76
100,801
108,652
334,640
889,309
602,115
62,998
575,592
386,233
873,480
108,170
28,39
516,260
630,511
706,717
781,416
699,700
832,948
238,622
764,751
133,165
718,229
295,375
947,338
303,171
25,208
12,0
592,927
231,515
742,796
691,307
899,509
757,473
972,445
583,95
976,486
64,421
618,453
749,604
658,914
527,220
220,158
977,154
411,575
153,753
346,684
142,578
59,418
823,550
503,740
249,461
462,814
969,453
356,398
248,279
842,435
947,161
238,552
311,150
171,705
693,668
342,666
244,363
950,855
332,927
947,300
15,576
568,617
907,6
675,168
872,203
212,883
485,939
548,371
256,921
141,837
86,261
640,989
380,230
108,389
226,173
249,885
320,505
284,172
762,136
857,950
567,447
128,685
365,11
368,355
984,928
237,737
603,907
838,719
863,159
657,985
7,167
163,743
67,314
919,145
721,472
875,419
482,962
536,130
901,944
926,59
596,782
486,237
814,18
340,412
934,399
893,522
7,423
128,414
825,953
957,329
737,747
507,753
693,229
24,165
912,932
197,4
128,359
32,884
116,384
239,917
505,873
963,275
592,762
127,989
563,164
200,229
651,798
485,203
473,145
298,124
44,689
111,794
15,684
871,819
470,97
906,572
682,976
599,172
426,845
832,787
976,843
363,420
15,507
758,519
496,606
911,529
775,294
611,258
418,310
374,107
342,622
191,799
973,310
177,266
738,171
716,415
161,614
746,454
739,126
79,207
897,920
798,760
347,934
913,781
164,206
561,730
555,996
431,248
608,951
455,532
581,819
681,505
148,314
761,950
294,479
160,592
947,396
6,855
306,102
186,504
217,73
504,533
967,565
972,329
225,913
774,333
783,229
432,239
159,516
465,505
922,967
189,960
379,287
437,506
552,132
86,857
532,294
452,279
467,48
376,531
858,684
855,426
996,627
366,764
820,201
768,51
693,90
370,681
121,316
898,60
225,198
543,27
462,513
503,123
40,472
959,308
798,224
63,750
908,133
152,573
480,92
427,969
977,931
652,354
239,678
781,992
826,310
968,227
296,526
340,612
970,228
305,935
678,433
86,106
768,916
946,123
364,379
110,496
438,402
204,128
256,981
597,695
620,586
257,689
988,391
821,210
42,758
694,172
386,684
253,687
392,981
647,161
418,462
334,531
310,528
470,180
366,95
497,952
439,921
788,199
948,848
121,774
668,133
942,77
949,822
10,869
894,171
375,719
259,681
203,890
121,638
848,175
692,575
956,204
678,108
214,37
994,103
65,549
25,208
822,988
320,366
654,154
948,703
790,853
165,847
463,513
230,637
747,334
285,704
620,15
30,252
144,242
135,838
591,440
856,735
115,475
653,577
388,436
1000,835
976,377
350,981
506,999
498,328
589,634
398,448
193,874
754,32
462,933
316,410
217,738
201,242
355,925
30,182
738,793
853,663
823,128
750,101
780,600
880,766
484,606
417,771
817,653
401,230
3,193
143,178
114,390
402,633
287,481
937,588
139,898
80,391
439,497
910,112
640,961
894,166
347,744
717,316
689,885
564,202
149,660
156,443
92,737
624,379
937,313
316,939
81,876
553,794
150,365
98,447
825,378
829,792
48,890
548,462
388,493
924,144
229,728
90,447
753,35
70,797
548,612
46,848
494,976
234,488
559,905
252,216
389,543
800,743
204,848
619,264
398,52
932,92
323,344
83,699
402,407
506,37
845,590
138,342
362,574
859,192
13,779
768,2
35,534
222,224
914,977
571,44
264,533
133,183
522,949
997,120
402,156
731,828
831,485
598,715
845,231
986,670
553,735
650,595
845,352
72,486
552,657
710,272
437,558
842,602
398,5
830,838
759,978
901,736
724,556
562,936
685,633
949,55
286,748
421,255
482,388
364,412
712,26
538,418
217,141
935,637
9,530
511,245
592,693
412,431
492,351
103,446
478,386
168,791
746,815
213,920
260,422
673,458
471,512
960,159
287,952
115,943
157,297
698,621
875,778
20,158
849,912
753,895
463,958
369,952
741,221
616,794
603,626
401,393
180,565
75,115
178,48
596,692
393,574
918,770
220,895
983,737
993,830
443,401
258,265
306,659
562,542
153,227
522,358
722,351
882,391
445,642
66,148
208,220
14,711
892,913
95,566
182,825
601,457
304,292
67,86
565,873
985,844
279,839
938,834
636,44
156,751
502,37
448,622
287,907
536,285
70,271
80,969
473,184
896,434
866,838
209,856
762,392
60,480
847,188
620,193
443,491
71,634
137,69
993,965
470,704
487,165
775,7
871,671
70,152
521,894
119,305
911,396
81,120
55,830
438,777
189,699
743,346
172,846
442,715
692,594
749,672
405,973
519,961
805,427
486,641
928,520
986,379
721,718
266,271
459,293
34,841
910,799
432,307
490,952
907,157
182,581
622,972
519,886
753,503
544,587
531,928
989,758
790,741
833,426
97,159
298,293
285,562
161,539
234,176
66,274
215,49
947,860
149,74
598,104
384,152
923,684
316,73
651,338
316,753
554,575
446,942
818,276
563,856
910,678
175,860
426,688
458,990
853,547
220,291
629,56
191,428
95,644
249,37
546,14
749,775
41,817
689,84
747,713
113,315
28,308
312,573
576,827
448,44
880,888
23,772
345,989
947,792
862,783
567,85
55,34
736,848
835,251
31,155
826,360
173,270
241,968
267,106
799,81
133,17
386,45
514,240
230,169
291,176
870,70
541,797
307,199
59,481
849,842
506,830
277,203
849,257
124,60
488,619
332,132
927,392
53,309
745,54
246,360
594,457
886,133
269,380
705,332
229,392
852,469
179,89
806,576
976,755
630,170
196,108
425,947
904,856
736,890
61,352
105,611
622,510
51,990
620,93
78,278
419,33
726,142
889,491
130,509
786,242
357,12
436,353
73,248
73,833
873,857
113,375
266,260
77,359
892,782
290,825
796,378
205,273
468,54
90,227
184,853
712,612
490,423
555,294
491,521
374,955
282,732
846,204
669,669
386,294
515,101
539,979
975,788
361,242
719,258
751,533
180,479
850,493
62,955
461,654
903,802
676,795
636,896
768,761
3,425
580,548
674,138
395,122
950,158
382,485
706,729
393,483
548,488
492,984
281,492
833,991
17,885
250,398
245,651
689,537
969,201
417,557
974,265
245,604
538,428
110,548
300,830
639,256
463,327
599,391
411,104
707,500
557,851
360,546
275,425
244,398
954,162
322,232
130,247
982,139
833,557
641,387
959,317
611,871
587,409
795,701
626,250
623,890
456,276
403,167
740,565
575,986
889,495
917,427
243,974
322,755
411,264
469,492
46,866
998,654
589,698
430,631
210,781
479,33
668,288
445,723
296,809
916,578
451,675
486,993
790,255
286,580
804,558
758,234
250,542
578,773
